MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TransceiverClass
366986820,2022-03-31T00:00:03,41.47393,-90.64025,5.4,53.4,511,TROJAN,,WDC2036,31,0,19,7,,31,A
367352630,2022-03-31T00:00:02,30.402,-91.21446,0.4,113.5,511,JESSICA RYAN,,WDE4399,31,0,18,7,,31,A
636020655,2022-03-31T00:00:09,48.96478,-123.56615,12.7,135.9,136,KAGAWA MARU,IMO9885075,5LAB4,70,0,250,43,7.6,70,A
356727000,2022-03-31T00:00:09,29.76361,-95.08054,9.5,287,274,CENTURY MELODY,IMO9580211,3FCS6,70,0,137,23,8.3,70,A
367436440,2022-03-31T00:00:13,47.05795,-122.89805,0,0,511,SWEET SPOT,,WDF3145,37,,14,5,,,B
636019200,2022-03-31T00:00:00,29.4433,-93.65433,7.3,177.9,179,CHEM GALLIUM,IMO9740782,D5TK4,80,0,147,24,10,80,A
367535280,2022-03-31T00:00:02,36.26611,-89.55817,3.6,358.8,352,JANICE E STRAIT,,WDG4317,31,12,56,13,,31,A
367557410,2022-03-31T00:00:02,30.05956,-93.4652,5.7,268.8,268,ALEX D,,WDG6475,31,12,23,,,57,A
367537770,2022-03-31T00:00:02,40.1215,-91.51236,0.8,360,511,SIR J-ETTE,,WDG4552,31,15,15,,,31,A
367098050,2022-03-31T00:00:06,47.53817,-122.32905,0,263.9,146,GRETCHEN H,IMO8964587,WDC9138,31,0,24,9,2.8,32,A
308017000,2022-03-31T00:00:04,26.30462,-79.30937,13,91.4,100,CARNIVAL SUNSHINE,IMO9070058,C6FN4,60,0,272,35,8.3,69,A
338356082,2022-03-31T00:00:04,18.46044,-66.12071,19.8,130.1,125,HARBOR THUNDER,,,50,0,0,0,0,50,A
367749970,2022-03-31T00:00:00,29.94606,-90.37453,0,281.9,511,LOUISIANA PARADISE,,WDI9569,31,0,,,,31,A
316014107,2022-03-31T00:00:02,49.30212,-123.02312,0,155.4,348,SST GRIZZLY,IMO9756482,CFA2897,31,0,32,13,5.8,31,A
316027744,2022-03-31T00:00:03,49.29144,-122.95908,0,221.9,511,JOHN M LEDCOR,,,31,0,12,5,0.4,52,A
366982350,2022-03-31T00:00:05,29.25429,-89.97265,0,236,511,MS CHRISTINE,IMO9117026,WDI6837,60,0,46,9,,0,A
367712180,2022-03-31T00:00:07,35.10244,-92.54503,0,360,511,JEFFREY LEE,,WDI5793,31,15,14,,,31,A
366945650,2022-03-31T00:00:08,34.72733,-90.47434,6.4,91,80,SALLY ARCHER,,WDB7650,31,12,56,15,,57,A
367450580,2022-03-31T00:00:00,46.1687,-123.91403,0,172.1,511,GRUMPY J,IMO7049433,WDF4332,30,7,21,6,,30,A
248432000,2022-03-31T00:00:05,25.83653,-79.98413,9.9,181,179,CMA CGM NERVAL,IMO9406623,9HA2361,70,0,299,40,14.5,74,A
255806154,2022-03-31T00:00:05,29.45907,-93.66731,7.5,180.9,178,NORDTULIP,IMO9521447,CQAE8,89,0,229,42,8.2,89,A
368584000,2022-03-31T00:00:04,29.13599,-90.20224,0.1,297.2,342,HARVEY SPIRIT,IMO9388106,WDD4830,90,0,85,18,5,90,A
368078510,2022-03-31T00:00:09,27.84334,-97.52462,0,202.4,283,MCCULLOCH,IMO1252854,WDK6827,57,0,207,16,3,57,A
368181070,2022-03-31T00:00:01,33.60041,-117.88354,5,114.1,105,GRATITUDE,IMO0000000,WDL9665,37,,0,0,,,B
366995360,2022-03-31T00:00:01,30.34193,-91.2287,8.8,138.5,129,UNCLE BUD,,WDC2592,31,12,16,8,,57,A
368174450,2022-03-31T00:00:03,29.75126,-91.72724,0.1,248.4,111,TREY DELOACH,IMO7048154,WDL8947,57,15,82,12,2.7,57,A
367587010,2022-03-31T00:00:03,30.47707,-91.19492,4,0.5,511,JACKSON MCKINNEY,,WDG9363,31,0,15,7,,52,A
367699340,2022-03-31T00:00:04,40.50489,-80.09003,0.7,293.6,511,ARTHUR E SNIDER,,WDI4504,31,12,43,10,,32,A
367104560,2022-03-31T00:00:04,30.07737,-90.90212,4,298.7,511,JOREE,,WDC9613,31,0,17,6,,0,A
366991110,2022-03-31T00:00:05,29.67437,-91.22999,0.1,360,511,CAPT TIMMY,,WDH6754,31,0,16,6,,99,A
248516000,2022-03-31T00:00:08,27.47552,-95.55095,16.3,258.8,260,CASTILLO DE MERIDA,IMO9742807,9HA4686,80,0,297,49,9.5,80,A
367365210,2022-03-31T00:00:09,29.76363,-95.10823,0,310.7,511,ALFRED P CENAC III,,WDE5335,31,0,19,8,,52,A
367587990,2022-03-31T00:00:01,27.85353,-97.174,0,233.3,180,"KEN""WEWA""STRICKLAND",,WDG9458,31,12,20,,,57,A
368251000,2022-03-31T00:00:03,47.28433,-122.40999,0,219.7,309,SEA TRADER,IMO7517698,WDE7566,30,5,84,18,4.7,30,A
368198210,2022-03-31T00:00:05,27.82791,-97.49664,0,177.9,307,BEN HAYS,,WDM3545,52,0,24,10,3.1,52,A
477004700,2022-03-31T00:00:04,28.05393,-86.11736,16.5,98.1,97,COSCO VENICE,IMO9484405,VRME4,70,0,261,32,11,70,A
367519920,2022-03-31T00:00:01,29.68664,-91.17739,0,312.3,359,BIG EDDIE,,WDG2850,31,15,20,8,,38,A
368199740,2022-03-31T00:00:03,29.29862,-94.84438,0,162.6,511,MARGARET K,IMO0691907,WDM3709,31,15,0,0,0,31,A
367717930,2022-03-31T00:00:04,29.7105,-93.85733,0,360,511,LUCKY FOREVER,IMO8984135,WDI6363,30,8,25,7,,30,A
563093900,2022-03-31T00:00:08,30.05893,-88.42247,4.1,141,151,MTM HUDSON,IMO9278064,9V6540,80,0,178,32,6.5,80,A
368045340,2022-03-31T00:00:00,40.2468,-80.65154,0,78.7,511,JOSEPH W CARL,,WDK3445,0,15,0,0,0,0,A
316001476,2022-03-31T00:00:01,48.65212,-123.44945,0,243.5,76,CCGS CAPE ST JAMES,,CFG7633,90,15,14,4,1.4,51,A
368481000,2022-03-31T00:00:01,29.74488,-93.86959,0,329.1,268,SP AMBER,IMO9423138,WDE2808,31,15,33,12,5.1,50,A
368113360,2022-03-31T00:00:01,41.64674,-87.472,0,298.5,511,LEE W,IMO1297828,WDL2576,57,12,224,17,2.8,57,A
367799330,2022-03-31T00:00:01,29.84392,-90.05997,0,146.2,164,PINTAIL,,WDJ6593,31,12,17,8,,57,A
367438630,2022-03-31T00:00:05,38.96638,-90.54393,4.6,318,322,A STEVE CROWLEY,,WDF3329,31,12,46,12,,57,A
356222000,2022-03-31T00:00:04,46.08555,-124.43259,6.9,61.5,57,SHIMANAMI QUEEN,IMO9589786,3FTV,70,0,199,32,13,79,A
368119110,2022-03-31T00:00:07,29.95239,-90.06255,0.1,163.7,278,C.D. WHITE,IMO9899181,WDL3184,52,0,28,12,17,52,A
367072930,2022-03-31T00:00:10,29.73869,-93.86764,0,291,511,SEA OX,,WDC7536,31,15,18,6,,90,A
367381000,2022-03-31T00:00:24,29.72829,-95.02054,0,287.7,216,OVERSEAS NEW YORK,IMO9353541,WGEH,80,5,183,32,12.2,80,A
366773070,2022-03-31T00:00:00,47.51069,-122.46317,0,280.3,233,WSF CATHLAMET,IMO7808138,WYR7641,60,0,100,23,4.7,60,A
311923000,2022-03-31T00:00:00,29.57897,-93.78042,12,133.6,131,APOLLON,IMO9289532,C6UI4,80,0,186,32,13,80,A
338164476,2022-03-31T00:00:00,30.0274,-90.11705,0.1,251.5,511,NORTH STAR,,,37,0,16,,,37,A
367410780,2022-03-31T00:00:02,37.07513,-88.22547,5.4,144.4,148,DETROIT,,WDE8881,31,12,41,13,,57,A
368006590,2022-03-31T00:00:03,34.72193,-92.18143,0,320.1,511,WINCHESTER,,WDJ7427,31,15,35,9,,31,A
367336190,2022-03-31T00:00:04,32.0821,-81.06328,0,267,511,LAURA K MORAN,IMO9415765,WDE3239,31,0,28,9,3.4,93,A
316009219,2022-03-31T00:00:05,49.29062,-122.97485,0,153,325,ISLAND SCOUT,IMO8967450,CFG7527,31,0,23,7,3.4,52,A
